id,userid,sysfuncid,limsysobjid,limobjid,begdt,enddt,active,reason,created_at,created_by,updated_at,updated_by
420,31,78,NULL,NULL,"2021-10-27 18:40:38",NULL,1,NULL,"2021-10-27 08:40:38",12,"2021-10-27 08:40:38",12
421,31,68,NULL,NULL,"2021-10-27 18:40:38",NULL,1,NULL,"2021-10-27 08:40:38",12,"2021-10-27 08:40:38",12
422,31,69,NULL,NULL,"2021-10-27 18:40:38",NULL,1,NULL,"2021-10-27 08:40:38",12,"2021-10-27 08:40:38",12
423,31,600,NULL,NULL,"2021-10-27 18:40:38",NULL,1,NULL,"2021-10-27 08:40:38",12,"2021-10-27 08:40:38",12
424,31,601,NULL,NULL,"2021-10-27 18:40:38",NULL,1,NULL,"2021-10-27 08:40:38",12,"2021-10-27 08:40:38",12
425,31,602,NULL,NULL,"2021-10-27 18:40:38",NULL,1,NULL,"2021-10-27 08:40:38",12,"2021-10-27 08:40:38",12
426,31,603,NULL,NULL,"2021-10-27 18:40:38",NULL,1,NULL,"2021-10-27 08:40:38",12,"2021-10-27 08:40:38",12
427,31,604,NULL,NULL,"2021-10-27 18:40:38",NULL,1,NULL,"2021-10-27 08:40:38",12,"2021-10-27 08:40:38",12
428,31,246,NULL,NULL,"2021-10-27 18:40:38",NULL,1,NULL,"2021-10-27 08:40:38",12,"2021-10-27 08:40:38",12
429,31,247,NULL,NULL,"2021-10-27 18:40:38",NULL,1,NULL,"2021-10-27 08:40:38",12,"2021-10-27 08:40:38",12
430,31,248,NULL,NULL,"2021-10-27 18:40:38",NULL,1,NULL,"2021-10-27 08:40:38",12,"2021-10-27 08:40:38",12
431,31,249,NULL,NULL,"2021-10-27 18:40:38",NULL,1,NULL,"2021-10-27 08:40:38",12,"2021-10-27 08:40:38",12
432,31,362,NULL,NULL,"2021-10-27 18:40:38",NULL,1,NULL,"2021-10-27 08:40:38",12,"2021-10-27 08:40:38",12
433,31,291,NULL,NULL,"2021-10-27 18:40:38",NULL,1,NULL,"2021-10-27 08:40:38",12,"2021-10-27 08:40:38",12
434,31,289,NULL,NULL,"2021-10-27 18:40:38",NULL,1,NULL,"2021-10-27 08:40:38",12,"2021-10-27 08:40:38",12
435,31,290,NULL,NULL,"2021-10-27 18:40:38",NULL,1,NULL,"2021-10-27 08:40:38",12,"2021-10-27 08:40:38",12
436,31,292,NULL,NULL,"2021-10-27 18:40:38",NULL,1,NULL,"2021-10-27 08:40:38",12,"2021-10-27 08:40:38",12
437,31,214,NULL,NULL,"2021-10-27 18:40:38",NULL,1,NULL,"2021-10-27 08:40:38",12,"2021-10-27 08:40:38",12
