id,parid,code,name,active,ordr,created_at,created_by,updated_at,updated_by
402,NULL,PayForms,"Справочник форм оплаты",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
404,NULL,VATRates,"Справочник ставок НДС",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
406,NULL,FiscalDocTypes,"Справочник типов фискальных документов",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
408,NULL,KKT_Types,"Типы кассовых аппаратов",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
422,NULL,FR_Servers,"Серверы обслуживания ККТ",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
424,NULL,Cash_Boxes,"Кассовые рабочие места",0,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
426,NULL,KKTs,"Кассовые аппараты",0,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
428,NULL,CB_KKTs,"Связь ККТ с кассовыми местами",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
430,NULL,KKT_Sessions,"Кассовые смены ККТ",0,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
442,NULL,FiscalDocs,"Список фискальных документов (чеков)",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
444,NULL,fsd_Items,"позиции чека",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
446,NULL,fsd_PaySums,"оплата чека",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
461,NULL,projects,Проекты,1,333,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
462,NULL,projbudgetitems,"Бюджетные статьи проекта",1,9998,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
463,NULL,pbi_opers,"Операции по статьям бюджета",1,9999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
465,NULL,estdocs,Сметы,1,9999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
466,NULL,buildobjs,"Объекты строительных работ",1,888,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
467,466,buildopertypes,"Виды работ объекта",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
468,465,estdoc_items,"Состав сметы",1,9999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
469,468,estdocitm_resources,"Ресурсы позиции сметы",1,9999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
471,NULL,wrktyperefbooks,"Справочники видов работ",1,999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
472,NULL,wtrb_items,"позиции справочника видов работ",1,999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
481,NULL,mchntypes,"Типы спец-техники",1,9999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
482,NULL,machines,Спец-техника,1,99999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
483,NULL,mchnrqsts,"Заявки на использование спец-техники",1,888,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
491,NULL,indicators,"Показатели деятельности",1,9999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
492,NULL,indi_facts,"фактич. значения показателей",1,9999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
501,NULL,mFinDocs,"Работа с финансовыми (учетными) документами",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
502,NULL,FinDocTypes,"Справочник типов фин.документов",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
503,NULL,FinDocNums,"Источник номеров для фин.документов",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
504,NULL,FinDocs,"Финансовые (Учетные) документы",0,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
505,NULL,FinDocItems,"Состав документов",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
510,NULL,pd_srctypes,"Тип источника для платежа",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
520,NULL,PayDocs,"Платежные документы",1,9999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
600,NULL,Analitics,"Аналитические отчеты",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
601,NULL,rep01,"Сводка плана продаж",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
602,NULL,rep02,"Анализ продаж",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
603,NULL,rep03,"Частота продажи товаров",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
604,NULL,rep04,"список товаров с заданной частотностью продажи",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
605,NULL,rep05,"Анализ товарных запасов",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
701,NULL,SalePlans,"Планы продаж",0,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
731,NULL,prodplans,"Планы производства работ",1,999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
732,NULL,prodfacttypes,"Типы фактов для планов работ",1,1,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
733,NULL,prodplan_facts,"Фактические данные исполнения плана работ",1,3,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
734,NULL,prodplan_estimates,"Оценки выполнения плана",1,4,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
735,NULL,prodplan_depends,"зависимости планов продаж",1,5,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
736,731,prodplan_items,"Состав плана выполнения работ",1,2,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
801,NULL,ObjLogs,"Журналы значимых событий для объектов системы",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
802,NULL,Jobs,"system jobs",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
803,NULL,Failed_Jobs,"failed system jobs",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
805,NULL,TranslitTypes,"Типы транслитерации",0,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
806,805,Translits,"Правила для транслитерации",0,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
810,NULL,ObjMsgs,"Сообщения, связанные с объектами системы",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
811,810,ObjMsg_Rcpts,"Получатели сообщений",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
821,NULL,GrpTypes,"Типы групп",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
822,NULL,Groups,"Группы (объектов)",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
823,NULL,GrpItems,"Состав групп (объектов)",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
827,NULL,ImportGroups,"Группы для регулирования импорта данных",1,999999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
831,NULL,makedocs,"Документы регистрации выполнения операций по заказам",0,9999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
832,NULL,makedocitems,"Состав документов исполнения операций",0,9999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
843,NULL,ri_QtyMarkups,"Цена товара в зависимости от кол-ва продажи",0,9999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
851,NULL,articles,Статьи,1,9999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
852,468,estdocitm_works,"Работы позиции сметы",1,9999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
853,465,estdoc_sections,"Разделы состава сметы",1,999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
854,466,buildobj_staffs,"Ответственные сотрудники объекта/проекта",1,999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
855,NULL,reports,"Отчеты, реестры",1,999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
856,NULL,meetings,Совещания,1,3,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
857,856,meeting_staffs,"Совещание: Участники",1,4,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
858,856,meeting_items,"Совещание: Повестка",1,5,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
859,858,meeting_executors,"Совещание: Исполнители решений",1,6,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
860,461,proj_categories,"Категории проектов",1,999,"2020-08-25 01:20:53",1,"2020-08-25 01:20:53",1
