id,code,sysobjid,name,adminrightid,org_area,active,ordr,created_at,created_by,updated_at,updated_by
507,contract_workplans.update,155,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
508,contract_workplans.delete,155,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
509,equiprqsts.add2refitems,870,"доб. позиции в спр-к номенклатуры",1,0,1,99,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
510,orgacntperiods.read,117,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
511,orgacntperiods.create,117,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
512,orgacntperiods.update,117,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
513,orgacntperiods.delete,117,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
514,orgacntperiods.admin,117,"лок. администратор",1,0,1,5,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
515,doctypes.read,920,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
516,doctypes.create,920,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
517,doctypes.update,920,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
518,doctypes.delete,920,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
520,tasks.read,961,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
521,tasks.create,961,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
522,tasks.update,961,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
523,tasks.delete,961,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
524,contracts.updregnum,151,"изменение рег. номера",1,0,1,5,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
525,org_extservices.create,981,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
526,org_extservices.update,981,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
527,org_extservices.delete,981,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
528,extsrvc_sums.read,982,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
529,extsrvc_sums.create,982,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
530,extsrvc_sums.update,982,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
531,extsrvc_sums.delete,982,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
532,baseworktypes.read,451,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
533,baseworktypes.create,451,"Создание записей",1,0,1,2,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
534,baseworktypes.update,451,"Изменение записей",1,0,1,3,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
535,baseworktypes.delete,451,"Удаление записей",1,0,1,4,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
536,org_extservices.read,981,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
537,orgplnpay_items.already_pay,902,"Установка состояния Оплачен ранее",1,0,1,7,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
538,grantdocs.read,991,"Чтение записей",1,0,1,1,"2023-07-15 02:08:40",1,"2023-07-15 02:08:40",1
