id,code,sysobjid,name,active,adminrightid,created_at,created_by,updated_at,updated_by
130,ri_altnames.create,141,"создание записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
131,ri_altnames.read,141,"просмотр записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
132,ri_altnames.update,141,"изменение записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
133,ri_altnames.delete,141,"удаление записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
134,orders.ownorg.update,131,"изменение продавца в заказе",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
135,delivery,221,"Модуль Доставка",1,9,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
136,wrhdoc(9).sign,204,"право утверждения документа Акт разногласий",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
137,extsystems.read,31,"просмотр записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
138,extsystems.create,31,"создание записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
139,extsystems.update,31,"изменение записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
140,extsystems.delete,31,"удаление записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
141,objextids.read,32,"просмотр записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
142,objextids.create,32,"создание записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
143,objextids.update,32,"изменение записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
144,objextids.delete,32,"удаление записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
145,saleplans.read,701,"просмотр записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
146,saleplans.create,701,"создание записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
147,saleplans.update,701,"изменение записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
148,saleplans.delete,701,"удаление записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
149,grptypes.read,821,"просмотр записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
150,grptypes.create,821,"создание записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
151,grptypes.update,821,"изменение записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
152,grptypes.delete,821,"удаление записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
153,groups.read,822,"просмотр записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
154,groups.create,822,"создание записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
155,groups.update,822,"изменение записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
156,groups.delete,822,"удаление записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
157,curator.default,1,"куратор по-умолчанию",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
158,analitics.reports,601,"доступ к аналитическим отчетам",1,9,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
159,analitics.rep02,601,"отчет Анализ продаж"",1,9,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
160,analitics.rep03,601,"отчет Периодичность продаж"",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
161,stat.sales.view,1,"право просмотра статистики продаж",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
162,extsys_sysobjs.read,33,"просмотр записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
163,extsys_sysobjs.create,33,"создание записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
164,extsys_sysobjs.update,33,"изменение записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
165,extsys_sysobjs.delete,33,"удаление записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
166,fiscaldocs.read,442,"просмотр записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
167,fiscaldocs.create,442,"создание записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
168,fiscaldocs.update,442,"изменение записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
169,fiscaldocs.delete,442,"удаление записей",1,1,"2019-11-04 06:54:04",1,"2019-11-04 06:54:04",1
170,cashier,400,"кассир - право работы с ККТ",1,1,"2019-11-05 11:23:15",1,"2019-11-05 11:23:15",1
